data_adjudicacio,any,expedient,fase,procediment,tipus_contracte,objecte,cpv,nif_adjudicatari,adjudicatari,import_sense_iva,import_amb_iva,valor_estimat,ofertes_rebudes,durada,enllac,font,factures_match,factures_import,factures_count
2025-12-09,2025,1920/2024,Adjudicació,Contracte menor,Obres,"Obres per a la construcció d’una pista multiesportiva en l’espai adjacent a la piscina, on s’ubica la pista de frontó.",45212200-8,B65929747,PRODIUR SPORTS SL,21329.0,25808.09,21329.0,1,09/12/2024 a 30/12/2024,https://contractaciopublica.cat/ca/detall-publicacio/5c1a943d-d897-4be4-b52a-0276ddcd89a5/300350876,AOC PSCP,nif,54155.97,3
2025-06-06,2025,1128/2025,Adjudicació,,Subministraments,L’Ajuntament de Calaf té interés en sol·licitar el subministrament del paper d’impressió de tota la corporació a través de l’Acord marc de subministrament de paper amb destinació a les entitats locals de Catalunya (exp. núm. 2023.06.A01) amb l’empresa LYRECO ESPAÑA SA mitjançant la realització del corresponent encàrrec de provisió.,30197630-1,A79206223,LYRECO ESPAÑA SA,364.8,441.41,364.8,1,16/06/2025 a 16/06/2025,https://contractaciopublica.cat/ca/detall-publicacio/cfaf52cf-8f44-408e-b226-a5ab9e1439fc/300476379,AOC PSCP,nif,9249.7,20
2025-05-26,2025,317/2025,Formalització,Negociat sense publicitat,Serveis,"És objecte d’aquest contracte, els serveis d'implantació, manteniment i assistència tècnica i jurídica d'una plataforma integral d'administració electrònica.",72267100-0,A50878842,"ESPUBLICO SERVICIOS PARA LA ADMINISTRACION, S.A.",46256.42,55970.27,103372.95,1,02/05/2025 a 01/05/2027,https://contractaciopublica.cat/ca/detall-publicacio/558ecc84-d758-4003-9c6a-9a4e83074042/300472466,AOC PSCP,nif,126419.01,27
2025-05-16,2025,955/2025,Adjudicació,,Serveis,Adhesió a l’Acord marc del servei d’assessorament i mediació d’assegurances (Exp. 2023.02) i a l’Acord marc de serveis d’assegurances (Exp. 2023.01): Defensa jurídica i reclamació de danys (Lot 4)_Renovació any 2025,66510000-8,B58265240,FERRER&OJEDA,1193.98,1193.98,1193.98,1,01/06/2025 a 31/05/2026,https://contractaciopublica.cat/ca/detall-publicacio/85b49e92-b4df-4834-8f45-a9cd661e25b1/300453583,AOC PSCP,nif,163582.48,77
2025-04-17,2025,532/2025,Adjudicació,,Subministraments,Adhesió a la primera pròrroga de l’Acord marc de subministrament d’equips per a la generació d’energia solar fotovoltaica amb destinació a les entitats locals de Catalunya (Exp. 2021.03)_Lot 4 Manteniment i gestió del punt de recàrrega,50324200-4,B55667562,"ETECNIC MOVILIDAD ELÉCTRICA, SL",1215.0,1470.15,1215.0,1,01/02/2025 a 31/01/2026,https://contractaciopublica.cat/ca/detall-publicacio/3e632193-28d8-4574-9580-8943b1f2b60c/300428402,AOC PSCP,nif,55568.46,35
2025-04-01,2025,89/2025,Adjudicació,,Subministraments,"Aprovació de l'adhesió al contracte 2023.04 de l’Acord marc de l'ACM de subministrament d’energia elèctrica amb destinació a les entitats locals de Catalunya (Exp. 2023.04)-Lot 4 Autoconsum_varis edificis municipals, a favor de l'empresa ELECTRA CALDENSE ENERGIA, SA.",09310000-5,A62420815,ELECTRA CALDENSE ENERGIA SA,0.0,0.0,0.0,1,01/09/2024 a 31/08/2025,https://contractaciopublica.cat/ca/detall-publicacio/c5aa917b-1fbd-445d-b66a-cec354ed97a8/300418520,AOC PSCP,nif,15985.33,23
2025-03-26,2025,331/2025,Formalització,Obert simplificat,Subministraments,L'objecte del contracte és el subministrament de carburant tipus C per a la calefacció de dos equipaments municipals: Llar d'infants Municipal La Boireta i Poliesportiu Municipal.,09134100-8,B25337270,Prosetel 95 SLU,18677.69,22600.0,74710.76,1,01/04/2025 a 31/03/2027,https://contractaciopublica.cat/ca/detall-publicacio/57291d33-45c5-4a48-8d73-812d6a2126ba/300412509,AOC PSCP,nif,22600.0,1
2025-03-17,2025,365/2025,Formalització,Obert,Serveis,"L’objecte del contracte és la realització dels treballs compresos en la memòria valorada del servei de manteniment de jardineria i poda al municipi de Calaf, mitjançant l’ocupació de persones amb discapacitat amb especials dificultats per a la seva inclusió laboral (contracte reservat). La licitació i adjudicació d’aquest contracte es troba reservat a Centres Especials de Treball.",77311000-3,F08670077,"Taller Àuria, SCCL",55791.74,67508.01,173553.72,1,01/04/2025 a 31/03/2027,https://contractaciopublica.cat/ca/detall-publicacio/656b9fde-120d-4209-8448-55e084cada6a/300406852,AOC PSCP,nif,291547.08,64
2025-02-26,2025,1937/2024,Adjudicació,,Serveis,Adhesió a la segona pròrroga de l’Acord marc de ACM del servei de manteniment d’aparells elevadors i de subministrament d’elements substitutius amb destinació als ens locals de Catalunya (Exp. 2020.02) Lot 4 a favor de l'empresa KONE per un període de 12 mesos.,50750000-7,A28791069,KONE ELEVADORES SA,3510.73,4247.98,3510.73,1,01/01/2025 a 31/12/2025,https://contractaciopublica.cat/ca/detall-publicacio/3b6f0b4f-7643-47ff-8434-2efbd3ac07ea/300387969,AOC PSCP,nif,47888.54,33
2025-02-17,2025,155/2025,Adjudicació,,Serveis,Adhesió a l’Acord marc del servei d’assessorament i mediació d’assegurances (Exp. 2023.02) i a l’Acord marc de serveis d’assegurances (Exp. 2023.01): Vehicles terrestres (Lot 2),66514110-0,B58265240,FERRER&OJEDA,4590.8,4590.8,4590.8,1,24/02/2025 a 24/02/2026,https://contractaciopublica.cat/ca/detall-publicacio/63009b0d-356b-4347-a3c1-9b8976fdac30/300379306,AOC PSCP,nif,163582.48,77
2025-01-31,2025,39/2025,Publicació agregada de contractes,Contracte menor,Serveis,Contracte menor de serveis per la redacció d'un pla director de manteniment dels vials del municipi,71621000-7,5100,RAIMON GUITART GARCIA,12588.0,15231.48,12588.0,,17/02/2025 a 01/05/2025,https://contractaciopublica.cat/ca/detall-publicacio/5df76489-036f-443a-b1f0-d5d36035f0ec/300421014,AOC PSCP,,0,0
2025-01-31,2025,1953/2024,Formalització,Obert simplificat,Subministraments,"Subministrament d’un vehicle per a la brigada municipal en la modalitat d’arrendament financer (Lísing), d’acord amb les especificacions indicades en el PPT. El pressupost base de licitació total és de SEIXANTA-QUATRE MIL DOS-CENTS SEIXANTA-DOS EUROS AMB SEIXANTA-SET CÈNTIMS (64.262,67 €), més 13.202,72 € en concepte d’IVA, la qual cosa suposa una despesa màxima de SETANTA-SET MIL QUATRE-CENTS SEIXANTA-CINC EUROS AMB TRENTA-NOU CÈNTIMS (77.465,39 €). L’import corresponent a l’IVA s’ha calculat sobre els conceptes subministrament camió i interessos lísing, sense tenir en compte les comissions del mateix.",34142000-4,A08203887,"TALLERES AUTOLICA, S.A.",62532.73,75664.6,64262.67,2,11/02/2025 a 11/05/2025,https://contractaciopublica.cat/ca/detall-publicacio/3abad2cb-780b-458d-b7bf-b444440b0f72/300375590,AOC PSCP,nif,75664.6,1
2025-01-27,2025,71/2025,Adjudicació,,Subministraments,"Aprovació de l'adhesió al contracte 2023.04.A02 de l'Acord marc de l'ACM de subministrament d’energia elèctrica amb destinació a les entitats locals de Catalunya (Exp.2023.04)-Lot 2 (tarifa 3.0TD) a favor d'ENDESA ENERGIA, SA.",09310000-5,A81948077,ENDESA ENERGIA SA,0.0,0.0,0.0,1,15/02/2025 a 15/02/2026,https://contractaciopublica.cat/ca/detall-publicacio/c968ec9b-b973-43d2-a9eb-5997c1b8a74b/300364910,AOC PSCP,nif,1380251.54,3234
