data,any,trimestre,num_document,import,situacio,codi_operacio,nif_tercer,proveidor,descripcio,categoria,font,menjo_score,menjo_total_cat,menjo_num_cont,menjo_slug,calaf_score,calaf_pct_pressupost,calaf_anys
2026-01-01,2026,1,F/2026/1,905.98,$1 - Contabilizada,220260000153.0,,KONE ELEVADORES SA,MANTENIMENT ASCENSORS,Manteniment,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/2,52.95,$1 - Contabilizada,220260000215.0,,TYCO INTEGRATED SECURITY SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/3,52.95,$1 - Contabilizada,220260000218.0,,TYCO INTEGRATED SECURITY SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/4,33.9,$1 - Contabilizada,220260000212.0,,TYCO INTEGRATED SECURITY SL,SEGURETAT CRO,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/5,33.83,$1 - Contabilizada,220260000221.0,,TYCO INTEGRATED SECURITY SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/6,144.84,$1 - Contabilizada,220260000156.0,,SECURITAS DIRECT,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/7,166.98,$1 - Contabilizada,220260000159.0,,SECURITAS DIRECT,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/8,166.94,$1 - Contabilizada,220260000162.0,,SECURITAS DIRECT,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/10,73.79,$1 - Contabilizada,220260000164.0,,MOVISTAR PROSEGUR ALARMAS SL,PROVEÏMENT DOMICILIARI AIGUA POTABLE,Serveis,portal_2026_Q1,,,,,,,
2026-01-01,2026,1,F/2026/11,78.98,$1 - Contabilizada,220260000167.0,,MOVISTAR PROSEGUR ALARMAS SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/12,110.15,$1 - Contabilizada,220260000479.0,,COESMA EXPENEDORES SL,AIGUA SUBMINISTRAMENT FONS,Serveis,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/13,217.8,$1 - Contabilizada,220260000223.0,,SOLITIUM CONTROL GROUP SA,MATERIAL INFORMÀTIC NO INVENTARIABLE.,Altres,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/14,122.51,$1 - Contabilizada,220260000481.0,,ETECNIC MOVILIDAD ELECTRICA SRL,MANTENIMENT PUNT DE RECÀRREGA,Manteniment,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/15,31.62,$1 - Contabilizada,220260000226.0,,SIC24 SECURITY SYSTEMS SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/16,61.87,$1 - Contabilizada,220260000229.0,,SIC24 SECURITY SYSTEMS SL,SEGURETAT,Serveis,portal_2026_Q1,,,,,,,
2026-01-02,2026,1,F/2026/17,373.0,$1 - Contabilizada,220260000571.0,,ASSOCIACIO DE MUNICIPIS PER LA INDEPENDENCIA,ENTITATS MUNICIPALISTES,Altres,portal_2026_Q1,,,,,,,
